timestamp	hf-hrv	posterior_alpha	frontal_alpha	frontal_theta	gamma	beta	state
142	2.2619525679175427	0.24161931584009888	0.6703654287797638	0.446277146922323	0.7246818481029148	0.3279509581824711	3
143	2.2096058927953988	0.5424817605770951	0.3056275345389112	0.3611334621962511	0.5377006889349406	0.3791628444303169	3
144	2.138118128049305	0.6430315693519278	0.4056454568891417	0.3228591465548451	-0.5250306457800241	-0.058234133896672625	3
145	2.050018077709121	-0.2999619262856613	-0.3953322811250226	0.13901221864628646	-0.39938058074506694	-0.413672019395865	0
146	1.9651488647158126	-0.72662180712646	-0.7997865521198707	-0.06948242674825891	-0.5264531653370743	-0.6499866296368713	0
147	1.8892533439288595	-0.6791420538276702	-0.7037600165540238	-0.489474317323765	-0.6567812704160595	-0.7035534086982207	0
148	1.805505159821251	-0.4823145207328518	-0.2953613741476097	-0.5960342895580031	-0.6405699700439945	-0.435267392991885	0
149	1.7059681795836792	-0.48696793289753904	-0.2929939077576745	-0.23448450037641738	-0.6224234763581157	-0.34645942305512417	0
150	1.595707357225545	-0.6056448557218909	-0.4987608383083813	-0.33687423367442626	-0.5799035841657425	-0.5506068920155601	0
151	1.4994887325421618	-0.5526866346456408	-0.3868396551277712	-0.36523595431084754	-0.5154055564468211	-0.49436548488431903	0
152	1.433906626213809	-0.6098699881914182	-0.5489746724385106	-0.07698613137561705	-0.49231776844981107	-0.5600629639378282	0
153	1.407425898492999	-0.6145728256948886	-0.7235135973644338	0.15343313225946356	-0.6545401187251749	-0.9212213683565673	0
154	1.4356926736824172	-0.5520917158554147	-0.6907921398145037	0.13180133666644983	-0.6395415076901729	-0.4660901889363483	0
155	1.5148641644160783	-0.5949583848497364	-0.7248954703810245	0.09301421392489803	-0.11390113088647132	-0.021154067267150863	0
156	1.6367983625548639	-0.4432527546224334	-0.4429725430423489	-0.32790035187723804	-0.12199604531606001	-0.3260179230756404	0
157	1.8080175257612978	-0.3178828491000368	-0.14781058372008563	-0.30126937442648977	-0.5849516295675469	-0.6132453848769691	0
