dataset,sj_id,quadrant,dimension,statistic,values
affectivevr,24.0,LP,valence,std,0.2682625024789889
affectivevr,24.0,LP,arousal,mean,-0.45229561177667743
affectivevr,24.0,LP,arousal,std,0.2080963565447788
affectivevr,24.0,LP,distance,mean,1.0011922607775299
affectivevr,24.0,LP,distance,std,0.12128989536398312
affectivevr,24.0,LP,angle,mean,-0.5658518732772112
affectivevr,24.0,LP,angle,std,0.3836113332536543
affectivevr,24.0,LN,valence,mean,-0.47668567769130776
affectivevr,24.0,LN,valence,std,0.12607853476264672
affectivevr,24.0,LN,arousal,mean,-0.7230116705444328
affectivevr,24.0,LN,arousal,std,0.15774164392019746
affectivevr,24.0,LN,distance,mean,0.9828669269794493
affectivevr,24.0,LN,distance,std,0.12520516931616257
affectivevr,24.0,LN,angle,mean,-2.1069590382429673
affectivevr,24.0,LN,angle,std,0.22238973545797372
affectivevr,24.0,HN,valence,mean,-0.8541486023141514
affectivevr,24.0,HN,valence,std,0.0622604431516617
affectivevr,24.0,HN,arousal,mean,-0.3848492014493832
affectivevr,24.0,HN,arousal,std,0.2608856666359736
affectivevr,24.0,HN,distance,mean,1.0717644200340513
affectivevr,24.0,HN,distance,std,0.10761733584730404
affectivevr,24.0,HN,angle,mean,-1.0264541773316498
affectivevr,24.0,HN,angle,std,0.9757249889193028
affectivevr,25.0,HP,valence,mean,-0.4151917702199483
affectivevr,25.0,HP,valence,std,0.22787804883554238
affectivevr,25.0,HP,arousal,mean,0.6813810612933735
affectivevr,25.0,HP,arousal,std,0.21985471373166243
affectivevr,25.0,HP,distance,mean,0.9586119714130269
affectivevr,25.0,HP,distance,std,0.13007723170605073
affectivevr,25.0,HP,angle,mean,2.0289993744171
affectivevr,25.0,HP,angle,std,0.5272296467834673
affectivevr,25.0,LP,valence,mean,0.5418160989507265
affectivevr,25.0,LP,valence,std,0.3085498521871159
affectivevr,25.0,LP,arousal,mean,-0.36643063024728967
affectivevr,25.0,LP,arousal,std,0.28510338953734404
affectivevr,25.0,LP,distance,mean,0.9225579487257886
affectivevr,25.0,LP,distance,std,0.18901366145753415
affectivevr,25.0,LP,angle,mean,-0.5531353475942861
affectivevr,25.0,LP,angle,std,0.444558378617338
affectivevr,25.0,LN,valence,mean,0.2907458038539558
affectivevr,25.0,LN,valence,std,0.3190043382746024
affectivevr,25.0,LN,arousal,mean,-0.7754272977538074
affectivevr,25.0,LN,arousal,std,0.2027316754596963
affectivevr,25.0,LN,distance,mean,1.0001300468661765
affectivevr,25.0,LN,distance,std,0.1597598048085155
affectivevr,25.0,LN,angle,mean,-1.0773136573565054
affectivevr,25.0,LN,angle,std,0.46725346771085313
affectivevr,25.0,HN,valence,mean,-0.6605151081721731
affectivevr,25.0,HN,valence,std,0.2634257159319535
affectivevr,25.0,HN,arousal,mean,0.33157542477299096
affectivevr,25.0,HN,arousal,std,0.2286102212737741
affectivevr,25.0,HN,distance,mean,0.8201954031463328
affectivevr,25.0,HN,distance,std,0.16824428435384475
affectivevr,25.0,HN,angle,mean,1.8661274902892744
affectivevr,25.0,HN,angle,std,1.4986872851960513
affectivevr,26.0,HP,valence,mean,0.9387149309867894
affectivevr,26.0,HP,valence,std,0.08396099313529949
affectivevr,26.0,HP,arousal,mean,0.9132645147561983
affectivevr,26.0,HP,arousal,std,0.09810992395400893
affectivevr,26.0,HP,distance,mean,1.31360547393186
affectivevr,26.0,HP,distance,std,0.11829348228428066
affectivevr,26.0,HP,angle,mean,0.7866830678768109
affectivevr,26.0,HP,angle,std,0.08318212178856092
affectivevr,26.0,LP,valence,mean,0.9740541717046359
affectivevr,26.0,LP,valence,std,0.11860998251188158
affectivevr,26.0,LP,arousal,mean,0.49267578564013464
affectivevr,26.0,LP,arousal,std,0.10161784687022159
affectivevr,26.0,LP,distance,mean,1.1353229512659562
affectivevr,26.0,LP,distance,std,0.039377550508319335
affectivevr,26.0,LP,angle,mean,0.4508875468509845
affectivevr,26.0,LP,angle,std,0.16665525654186403
affectivevr,26.0,LN,valence,mean,-0.8723199278442731
affectivevr,26.0,LN,valence,std,0.12044014481360077
affectivevr,26.0,LN,arousal,mean,0.38894822135146656
affectivevr,26.0,LN,arousal,std,0.17489746789283614
affectivevr,26.0,LN,distance,mean,0.9772098776969393
affectivevr,26.0,LN,distance,std,0.12447270470189094
affectivevr,26.0,LN,angle,mean,2.579312570201571
affectivevr,26.0,LN,angle,std,0.7601908358103384
affectivevr,26.0,HN,valence,mean,-0.6228648977501131
affectivevr,26.0,HN,valence,std,0.34492329751190026
affectivevr,26.0,HN,arousal,mean,0.5524871325795888
affectivevr,26.0,HN,arousal,std,0.39959646096448115
affectivevr,26.0,HN,distance,mean,1.0160606488216117
affectivevr,26.0,HN,distance,std,0.22368620195573463
affectivevr,26.0,HN,angle,mean,1.599009397388332
affectivevr,26.0,HN,angle,std,1.5388296273595792
affectivevr,27.0,HP,valence,mean,0.8311865590959835
affectivevr,27.0,HP,valence,std,0.12012272821036296
affectivevr,27.0,HP,arousal,mean,0.20560877674585984
affectivevr,27.0,HP,arousal,std,0.28775735677159836
affectivevr,27.0,HP,distance,mean,0.9628865749318342
affectivevr,27.0,HP,distance,std,0.06089553487962773
affectivevr,27.0,HP,angle,mean,0.2316723259617259
affectivevr,27.0,HP,angle,std,0.3252369741987448
affectivevr,27.0,LP,valence,mean,0.7853651282567421
