timestamp	posterior_alpha	state
721	2.6035342068351617	3
722	0.36493359071378056	1
723	0.597571977025157	1
724	1.914530238716041	3
725	1.4127346699862302	3
726	0.2780849509297173	1
727	-0.005075561196365605	1
728	-0.3550003104989673	2
729	-0.3392152994210753	2
730	-0.32703516302032865	2
731	-0.0031692596691570607	1
732	-0.22419084396674696	1
733	-0.05792735608831145	1
734	1.8661500690703954	3
735	1.329573772961726	3
736	-0.4813953671313875	2
737	-0.45078714262868225	2
738	-0.5715987948185486	2
739	-0.4894967668515484	2
740	-0.5255290198276013	2
741	-0.6530741861108064	2
742	-0.4511277469377595	2
743	-0.3271607929960096	2
744	-0.2697549244412635	2
745	-0.2562260846911025	2
746	-0.5810873698088995	2
747	-0.6275705894526628	2
748	-0.3174564952879666	2
749	-0.38682187587664735	2
750	-0.6765143608595482	0
751	-0.5659306676886405	0
752	-0.4578759721426483	2
753	-0.4043537377976982	2
754	-0.38050466478111766	2
755	-0.4644468317941361	2
756	-0.42371429033909824	2
757	-0.3287127662350696	2
758	-0.447779188225718	2
759	-0.6287504759915215	2
760	-0.5206090205933872	2
761	-0.16567277798129731	1
762	-0.18778617612668305	1
763	0.8431170728805798	3
764	1.2163507454244447	3
765	0.032195762070304855	1
766	-0.43777645533472115	1
767	1.7204564052130298	3
768	2.9924511218526235	3
769	0.6826661159356581	1
770	-0.4465739817102191	2
771	-0.20939153558752685	2
772	-0.32506200906343946	2
773	-0.3807832238816835	2
774	-0.39495304036385376	2
775	-0.5534831345670832	2
776	-0.3667536404517061	2
777	-0.16832102016155823	1
778	0.23635582481795267	1
779	0.048322932304579326	1
780	-0.4107285483525078	2
781	-0.33780657067350933	2
782	-0.25439014418214206	2
783	0.6269123156491514	1
784	0.6092026022054746	1
785	-0.39604331373601914	2
786	-0.6210598858516689	0
787	-0.6772043781772982	0
788	-0.6892255649220769	0
789	-0.5975081867801137	0
790	-0.5200023732319724	2
791	-0.2069271673018345	2
792	0.11179705476974064	1
793	-0.17350610075396103	1
794	-0.5302472871179099	2
795	-0.36300231889144724	2
796	-0.3995049762570914	2
797	-0.7051169585148538	0
798	-0.41557194624027255	2
799	0.43408096490583303	1
800	0.5637123584527699	1
801	-0.10608019812262764	1
802	-0.4174426819097786	1
803	0.5321127206799907	1
804	1.0885851641449047	1
805	0.49732651011852835	1
806	-0.09771278847136955	1
807	-0.3492210508955118	2
808	-0.45782725325900464	2
809	-0.7274923183237221	0
810	-0.5732037475224074	0
811	-0.35935098247361436	2
812	-0.3333407943169208	2
813	-0.46889048142591344	2
814	0.18175161601489603	1
815	0.21520887293111893	1
816	-0.4846341665213096	2
817	-0.5434538999487634	2
818	-0.6206190091671631	0
819	-0.7106322093400439	0
820	-0.763837518745897	0
821	-0.7660810177873587	0
822	-0.6628735007665874	0
823	-0.5752270873636247	0
824	-0.618716820820393	0
825	-0.6970052817580299	0
826	-0.7182752556386095	0
827	-0.6800480554377399	0
828	-0.7215669661941284	0
829	-0.6876249577139917	0
830	-0.5679336242331827	0
831	-0.17326526333073375	2
832	-0.041268243233459054	1
833	-0.17853914460013343	1
834	-0.10967731363831187	1
835	-0.054537448633456664	1
836	0.332808226980329	1
837	1.0428330441331568	1
838	0.9112425735783677	1
839	0.04479871582925869	1
840	-0.4132843644860467	2
841	-0.5774660285134098	2
842	-0.6087815138207557	2
843	-0.5703002111980195	2
844	-0.38707298516059263	2
845	-0.11086664463863986	2
846	-0.28424406599748764	2
847	-0.47719285315485427	2
848	1.181205274333058	3
849	1.872778134558295	3
850	1.5249180810657028	3
851	1.051962252661963	3
852	0.3664405533351084	1
853	0.4976400929104947	1
854	1.2917901038643365	3
855	1.1703202805801194	3
856	0.6472934431759856	1
857	0.5806538839583412	1
858	-0.054440996301896895	1
859	-0.13144208768424448	1
860	-0.1873743647944154	1
861	0.19282998977742194	1
862	0.3417475395666678	1
863	0.20994777464891717	1
864	2.203689189863808	3
865	2.361816768358377	3
866	0.7545521094942268	3
867	0.9213666758785585	3
868	0.3999542836010822	1
869	0.8375994158266633	1
870	0.8582753684674103	1
871	-0.14052309815544237	1
872	0.1702007671327888	1
873	1.2477594283236693	3
874	2.4044286905430736	3
875	1.4986476917611005	3
876	0.09402229694466856	3
877	1.0970735084337597	3
878	1.1450326588514768	3
879	-0.07877523368628248	3
880	0.8264970221117002	3
881	2.5423078057520248	3
882	1.501528594482902	3
883	0.6186749149252658	3
884	1.2466641238682314	3
885	0.7543442662686852	1
886	0.43710881889527137	1
887	0.23659927770514394	1
888	-0.053759147934013554	1
889	0.12678640817031603	1
890	0.3539857509744872	1
891	0.04726407351654869	1
892	0.2523641113515933	1
893	1.2888170153228875	3
894	1.6210409308524412	3
895	1.7112518250461497	3
896	1.8882892466810541	3
897	0.8579201914503828	3
898	-0.22290280314983754	3
899	1.2349738545722504	3
900	3.095153609366871	3
901	2.0109637157130353	3
902	0.22027449056011697	1
903	-0.033380480454659904	1
904	-0.1416839124318566	1
905	0.11649887558018075	1
906	0.8771349651064605	3
907	1.3717848888289896	3
908	0.7681248918986169	1
909	0.16484367726212154	1
910	0.10567529587493842	1
911	-0.2953064069060917	2
912	-0.43078281690401904	2
913	-0.5329410785108595	2
914	0.9454932561863238	1
915	1.0682107229476796	1
916	-0.3799998432401837	2
917	-0.28394783722767053	2
918	-0.12968408018378086	1
919	0.0051964763037747955	1
920	-0.07459041951061807	1
921	1.6724103536669637	3
922	7.975785031419605	3
923	6.982138922635128	3
924	0.4822177829250618	1
925	-0.7011001310772138	0
926	-0.7203921324938535	0
927	-0.6723701801961692	0
928	-0.5168503991869863	2
929	-0.34012931843081534	2
930	-0.3643746887739778	2
931	-0.5750786828328841	2
932	-0.5535384327074919	2
933	-0.3514760090446684	2
934	-0.33264243962052253	2
935	0.7462750285801679	1
936	1.1882033227644246	3
937	-0.04939865557252743	1
938	-0.6279403884462984	1
939	-0.039117340218146904	1
940	0.7003774047735045	1
941	0.08279437307715487	1
942	-0.6485659780735398	0
943	-0.574324568001589	0
944	-0.37378217080591253	2
945	-0.3687829382078164	2
946	-0.5410688258080458	2
947	-0.6224087645892277	2
948	-0.5826892585128335	2
949	-0.45449281981880724	2
950	-0.40687661958624716	2
951	-0.13196207150559428	1
952	0.08623985131776299	1
953	1.183746107346495	3
954	1.1951103420971856	3
955	0.36364392213377705	1
956	0.3279631130014084	1
957	-0.12985994399092013	1
958	-0.3380607133825681	2
959	-0.4278417679156984	2
960	0.16949780888452312	1
961	0.42905059736101436	1
962	-0.20550631365742988	1
963	0.012382483321288159	1
964	0.3131973849793449	1
965	-0.1499545064303711	1
966	-0.3818405327124263	2
967	-0.30926298641531097	2
968	-0.3624855747608102	2
969	-0.5399862946154331	2
970	-0.5159026422551565	2
971	-0.38059367036937697	2
972	-0.34722085675821973	2
973	-0.49189093303059156	2
974	-0.3388510783594192	2
975	-0.1223164441868396	2
976	-0.07977541787329495	2
977	-0.3315736718727245	2
978	-0.7173411692846834	0
979	-0.6970832909668848	0
980	-0.5401373187792352	0
981	-0.5695867148074567	0
982	-0.6617057601817784	0
983	-0.6277649863419186	0
984	-0.7174656720122384	0
985	-0.8084547994887281	0
986	-0.5060647353551031	2
987	-0.395725114047856	2
988	-0.6007817952821191	2
989	0.18384410935186155	1
990	0.22494904556964895	1
991	-0.5279600025552852	2
992	-0.43075754310687986	2
993	-0.4373278367634895	2
994	-0.0871145224812008	1
995	-0.08065405417369603	1
996	-0.3761807502122025	1
997	0.2068687209325271	1
998	0.7044594876121578	1
999	1.540005564715829	3
1000	1.7917188061557228	3
1001	0.9514673470202871	3
1002	0.0010715282371317736	1
1003	-0.5356769717396412	2
1004	-0.42563095505688336	2
1005	-0.5633037941034901	2
1006	-0.38152407052347986	2
1007	-0.26049165808446006	2
