subject	test	value	num_df	den_df	F	p-value	significance
025	Hotelling-Lawley trace	0.35137815188238025	2	1389.999999999976	244.20781555825428	1.2884250760224858e-91	True
025	Roy's greatest root	0.35137815188238025	2	1390	244.20781555825428	1.2884250760229618e-91	True
026	Wilks' lambda	0.938996604273691	2	1390.0	45.15177140877828	1.0034485082160417e-19	True
026	Pillai's trace	0.06100339572630899	2.0	1390.0	45.15177140877829	1.0034485082160417e-19	True
026	Hotelling-Lawley trace	0.06496657756658747	2	1389.999999999976	45.15177140877829	1.003448508215179e-19	True
026	Roy's greatest root	0.06496657756658747	2	1390	45.15177140877829	1.0034485082160417e-19	True
027	Wilks' lambda	0.7474556540556294	2	1390.0	234.82104855183098	1.386356219813411e-88	True
027	Pillai's trace	0.2525443459443706	2.0	1390.0	234.82104855183098	1.386356219813411e-88	True
027	Hotelling-Lawley trace	0.3378720123047928	2	1389.999999999976	234.82104855183098	1.386356219812741e-88	True
027	Roy's greatest root	0.3378720123047928	2	1390	234.82104855183098	1.386356219813411e-88	True
028	Wilks' lambda	0.8041273619531213	2	1390.0	169.290948030838	1.5876831669455055e-66	True
028	Pillai's trace	0.1958726380468787	2.0	1390.0	169.290948030838	1.5876831669455055e-66	True
028	Hotelling-Lawley trace	0.24358409788609783	2	1389.999999999976	169.290948030838	1.587683166944603e-66	True
028	Roy's greatest root	0.24358409788609783	2	1390	169.290948030838	1.5876831669455055e-66	True
029	Wilks' lambda	0.8467599533022618	2	1390.0	125.77570779012837	6.214635388450931e-51	True
029	Pillai's trace	0.1532400466977382	2.0	1390.0	125.7757077901284	6.214635388449871e-51	True
029	Hotelling-Lawley trace	0.18097224142464516	2	1389.999999999976	125.77570779012838	6.214635388445368e-51	True
029	Roy's greatest root	0.18097224142464516	2	1390	125.77570779012838	6.214635388449871e-51	True
030	Wilks' lambda	0.6322423678438647	2	1390.0	404.2619845616446	4.112432910604931e-139	True
030	Pillai's trace	0.3677576321561353	2.0	1390.0	404.26198456164457	4.112432910604931e-139	True
030	Hotelling-Lawley trace	0.5816719202325821	2	1389.999999999976	404.2619845616445	4.112432910605866e-139	True
030	Roy's greatest root	0.5816719202325821	2	1390	404.26198456164457	4.112432910604931e-139	True
031	Wilks' lambda	0.8391623367147425	2	1390.0	133.20685532774598	1.18292882350448e-53	True
031	Pillai's trace	0.16083766328525748	2.0	1390.0	133.20685532774596	1.18292882350448e-53	True
031	Hotelling-Lawley trace	0.19166454003992225	2	1389.999999999976	133.20685532774596	1.1829288235036396e-53	True
031	Roy's greatest root	0.19166454003992225	2	1390	133.20685532774596	1.18292882350448e-53	True
032	Wilks' lambda	0.8892740217397572	2	1390.0	86.53638024904454	3.799669533801997e-36	True
032	Pillai's trace	0.11072597826024275	2.0	1390.0	86.53638024904451	3.799669533801997e-36	True
032	Hotelling-Lawley trace	0.1245127773367547	2	1389.999999999976	86.53638024904451	3.7996695337987026e-36	True
032	Roy's greatest root	0.1245127773367547	2	1390	86.53638024904451	3.799669533801997e-36	True
033	Wilks' lambda	0.7765743040662086	2	1390.0	199.95621521459222	4.755500435756725e-77	True
033	Pillai's trace	0.22342569593379133	2.0	1390.0	199.9562152145922	4.755500435756725e-77	True
033	Hotelling-Lawley trace	0.2877067844814276	2	1389.999999999976	199.9562152145922	4.755500435754428e-77	True
033	Roy's greatest root	0.2877067844814276	2	1390	199.9562152145922	4.755500435756725e-77	True
034	Wilks' lambda	0.7330693706543059	2	1390.0	253.06852914843952	1.8872370974131573e-94	True
034	Pillai's trace	0.2669306293456941	2.0	1390.0	253.0685291484395	1.8872370974131573e-94	True
034	Hotelling-Lawley trace	0.36412738006969714	2	1389.999999999976	253.0685291484395	1.8872370974125673e-94	True
034	Roy's greatest root	0.36412738006969714	2	1390	253.06852914843952	1.8872370974131573e-94	True
035	Wilks' lambda	0.8812285073082916	2	1390.0	93.67171708150282	6.86331376150285e-39	True
035	Pillai's trace	0.11877149269170835	2.0	1390.0	93.67171708150278	6.863313761503534e-39	True
035	Hotelling-Lawley trace	0.13477944903813352	2	1389.999999999976	93.67171708150279	6.863313761497584e-39	True
035	Roy's greatest root	0.13477944903813352	2	1390	93.67171708150279	6.86331376150285e-39	True
036	Wilks' lambda	0.845485230025628	2	1390.0	127.01317695275814	2.181159983816017e-51	True
036	Pillai's trace	0.15451476997437194	2.0	1390.0	127.01317695275813	2.181159983816017e-51	True
036	Hotelling-Lawley trace	0.18275277259389658	2	1389.999999999976	127.01317695275812	2.181159983814281e-51	True
036	Roy's greatest root	0.18275277259389658	2	1390	127.01317695275812	2.181159983816017e-51	True
037	Wilks' lambda	0.4631932618896526	2	1390.0	805.4536058332626	5.067012413957412e-233	True
037	Pillai's trace	0.5368067381103474	2.0	1390.0	805.4536058332626	5.067012413957412e-233	True
037	Hotelling-Lawley trace	1.1589260515586512	2	1389.999999999976	805.4536058332626	5.067012413967205e-233	True
037	Roy's greatest root	1.1589260515586512	2	1390	805.4536058332626	5.067012413957412e-233	True
038	Wilks' lambda	0.9353580660182873	2	1390.0	48.03095814262425	6.755189267489831e-21	True
038	Pillai's trace	0.06464193398171267	2.0	1390.0	48.03095814262423	6.755189267489831e-21	True
038	Hotelling-Lawley trace	0.06910929229154565	2	1389.999999999976	48.03095814262423	6.755189267483639e-21	True
038	Roy's greatest root	0.06910929229154565	2	1390	48.03095814262423	6.755189267489831e-21	True
039	Wilks' lambda	0.9052481066701177	2	1390.0	72.74532294411702	8.984615316806334e-31	True
039	Pillai's trace	0.09475189332988232	2.0	1390.0	72.74532294411704	8.984615316806334e-31	True
039	Hotelling-Lawley trace	0.10466952941599572	2	1389.999999999976	72.74532294411704	8.984615316799056e-31	True
039	Roy's greatest root	0.10466952941599572	2	1390	72.74532294411702	8.984615316806334e-31	True
040	Wilks' lambda	0.8028123383575212	2	1390.0	170.70667488980658	5.090456842482042e-67	True
040	Pillai's trace	0.19718766164247886	2.0	1390.0	170.70667488980664	5.090456842481608e-67	True
040	Hotelling-Lawley trace	0.24562111494936206	2	1389.999999999976	170.70667488980664	5.090456842478859e-67	True
040	Roy's greatest root	0.24562111494936206	2	1390	170.70667488980664	5.090456842481608e-67	True
041	Wilks' lambda	0.702129295731091	2	1390.0	294.846178226095	1.8191994220935544e-107	True
041	Pillai's trace	0.29787070426890905	2.0	1390.0	294.84617822609493	1.8191994220935544e-107	True
041	Hotelling-Lawley trace	0.4242391053612877	2	1389.999999999976	294.846178226095	1.819199422093296e-107	True
041	Roy's greatest root	0.4242391053612877	2	1390	294.846178226095	1.8191994220935544e-107	True
042	Wilks' lambda	0.7017155453376441	2	1390.0	295.4298182044509	1.2077106754384771e-107	True
042	Pillai's trace	0.29828445466235587	2.0	1390.0	295.4298182044509	1.2077106754384771e-107	True
042	Hotelling-Lawley trace	0.42507887511431786	2	1389.999999999976	295.4298182044509	1.2077106754383056e-107	True
042	Roy's greatest root	0.42507887511431786	2	1390	295.4298182044509	1.2077106754384771e-107	True
043	Wilks' lambda	0.941956218143368	2	1390.0	42.82622441823437	8.940227654771494e-19	True
043	Pillai's trace	0.058043781856632	2.0	1390.0	42.826224418234396	8.940227654771494e-19	True
043	Hotelling-Lawley trace	0.061620466788826475	2	1389.999999999976	42.826224418234396	8.940227654764126e-19	True
043	Roy's greatest root	0.061620466788826475	2	1390	42.8262244182344	8.940227654770732e-19	True
045	Wilks' lambda	0.9275168819181657	2	1390.0	54.31250691922117	1.9438690808490035e-23	True
045	Pillai's trace	0.07248311808183432	2.0	1390.0	54.3125069192212	1.9438690808490035e-23	True
045	Hotelling-Lawley trace	0.07814749197010244	2	1389.999999999976	54.31250691922119	1.943869080847415e-23	True
045	Roy's greatest root	0.07814749197010244	2	1390	54.3125069192212	1.9438690808490035e-23	True
046	Wilks' lambda	0.8687241824540483	2	1390.0	105.02377513735493	3.333712651824938e-43	True
046	Pillai's trace	0.13127581754595175	2.0	1390.0	105.02377513735495	3.333712651824938e-43	True
046	Hotelling-Lawley trace	0.151113345521374	2	1389.999999999976	105.02377513735493	3.3337126518222852e-43	True
046	Roy's greatest root	0.151113345521374	2	1390	105.02377513735493	3.333712651824938e-43	True
