time,cr_v,cr_a
13.74,0.5210625,0.31765625
13.77,0.5205,0.315625
13.81,0.51975,0.31396875
13.84,0.519375,0.3125
13.87,0.519,0.31428125
13.91,0.51878125,0.3165
13.94,0.51890625,0.3185
13.97,0.5191250000000001,0.319875
14.01,0.5191875,0.32090625
14.04,0.5190625,0.32171875
14.07,0.51859375,0.32187499999999997
14.11,0.5180312499999999,0.3219375
14.14,0.51759375,0.321875
14.18,0.51925,0.3233125
14.21,0.52203125,0.3259375
14.24,0.52515625,0.32828124999999997
14.28,0.52825,0.33068749999999997
14.31,0.53290625,0.33334375
14.34,0.53703125,0.33671875
14.38,0.5410625,0.340375
14.41,0.5430625,0.3419375
14.44,0.54125,0.34046875
14.48,0.5398125,0.33815625
14.51,0.5385,0.33596875
14.54,0.5340625,0.3315
14.58,0.52915625,0.3258125
14.61,0.52409375,0.320125
14.64,0.52090625,0.316625
14.68,0.5214375,0.3171875
14.71,0.5218125,0.31515624999999997
14.74,0.52228125,0.31284375
14.78,0.52284375,0.309375
14.81,0.52371875,0.30596875
14.84,0.52478125,0.3028125
14.88,0.52565625,0.29971875
14.91,0.5257499999999999,0.29596875
14.94,0.5251875,0.29309375
14.98,0.52471875,0.2905625
15.01,0.52465625,0.2880625
15.04,0.5246875,0.28590625
15.08,0.52490625,0.2826875
15.11,0.5251875,0.27928125
15.14,0.5264375,0.2755
15.18,0.52775,0.2724375
15.21,0.52915625,0.27009374999999997
15.24,0.5299375,0.26768749999999997
15.28,0.5306875,0.2651875
15.31,0.53146875,0.26253125
15.34,0.53221875,0.2599375
15.38,0.53271875,0.26125
15.41,0.533125,0.2631875
15.44,0.53334375,0.265125
15.48,0.5335,0.2660625
15.51,0.53296875,0.26546875
15.54,0.5325,0.2656875
15.58,0.53153125,0.26587500000000003
15.61,0.5305625,0.26775
15.64,0.5298125,0.270375
15.68,0.52940625,0.2731875
15.71,0.52915625,0.27590625
15.74,0.5305,0.2761875
15.78,0.5335625,0.27290625
15.81,0.5365624999999999,0.26940625
15.84,0.54096875,0.26725
15.88,0.5475625,0.26803125
15.91,0.553875,0.26884375
15.94,0.56021875,0.2695625
15.98,0.56415625,0.26784375
16.01,0.56715625,0.2675
16.04,0.5703125,0.2670625
16.08,0.57325,0.266875
16.11,0.57246875,0.26628124999999997
16.14,0.569875,0.26621875
16.18,0.56721875,0.26628125
16.21,0.56146875,0.2638125
16.24,0.554125,0.2600625
16.28,0.5471875,0.25621875
16.31,0.54021875,0.25206249999999997
16.34,0.53859375,0.252
16.38,0.53765625,0.253375
16.41,0.53671875,0.2546875
16.44,0.53628125,0.25559375
16.48,0.53571875,0.25621875
16.51,0.53453125,0.25834375
16.54,0.53334375,0.2604375
16.58,0.532125,0.26259375
16.61,0.528875,0.2661875
16.64,0.52509375,0.269875
16.68,0.52128125,0.2736875
16.71,0.51909375,0.276
16.74,0.51940625,0.2758125
