timestamp	ibi	hf-hrv	posterior_alpha	frontal_alpha	frontal_theta	beta	gamma	state
382	-0.6603223136480132	0.24027765960062872	-0.6035359687067388	-0.6491819108523523	-0.2873487799616373	-0.08414664149893211	0.018560360868654088	3
383	-0.9126742830449416	0.1676655547870265	-0.38136890460031375	-0.5153892675552786	-0.15919797616531398	-0.5362426689768489	-0.01142470298167926	3
384	-0.7537704573678945	0.14945711017725682	-0.6203074760141066	-0.6531855828182317	-0.6634703943699614	-1.4795720863139186	-0.38619798777669895	3
385	-0.7024764572796565	0.16495690705034907	-0.6760304822092393	-0.8198581665579991	-0.8924184871947124	-0.7046763806846915	0.38813391007036663	3
386	-0.5553110541402776	0.1944063223980135	-0.3377003745311599	-0.7617384961715576	-0.6301866623353242	0.35921743435599307	1.0323749500415123	3
387	-0.8311868407560494	0.23490403958579914	-0.4485057590342269	-0.7152146347186839	-0.4614305710272274	-0.1752411066205997	0.0015270474380429876	3
388	-0.4596787057479786	0.28555108213699315	-0.7115589232023413	-0.6926001477183658	-0.4970291121466378	-0.2634305022956216	-0.4084916177673019	3
389	-0.8937889649960254	0.3430435407891557	-0.6752920062054415	-0.6301514256925843	-0.6310697262435113	0.3025949419271223	0.06209032093112599	3
390	-0.43005899472852627	0.41237208100054396	-0.46099152210006195	-0.4620984947298564	-0.767958401593597	-0.17807083351620182	-0.14280066858905405	3
391	0.6569468639092633	0.5155277275545661	0.07353164955296328	0.08404127771341362	-0.436376126415262	-0.5419235296183694	-0.23658137783393587	3
392	1.322727509410816	0.6690425069232053	0.9807708135314517	1.5776259136949091	-0.2282371234765985	-0.702263367601116	-0.15321225166779104	0
393	1.552431356549724	0.8584596785853987	1.3815260813123138	2.0967675198984326	0.765787334284362	-0.5131886915388059	-0.4101512254142068	0
394	0.8487970349108422	1.0586335393640558	0.28945813052878716	0.5733278777100047	1.344769692346951	-0.7726854116723196	-0.4531516629483031	0
395	-0.18461109163680559	1.2525197201586997	-0.6807903807061972	-0.5061685357150738	0.21393039343721715	-1.3498421211756506	-0.45532719041345604	3
396	-0.05369972772245457	1.4276670913878016	-0.3507109169091721	-0.264084521781011	-0.39790847332700224	-1.0708380126688999	-0.462005165357863	3
397	0.18081792533620328	1.5748743974836394	-0.18981581780581708	-0.2435285225020509	-0.45397793226313243	-0.667257397952852	-0.33731405158087957	3
398	1.0980199046417607	1.6889396062891027	-0.4434652308081453	-0.6864482542888132	-0.622718109895207	-0.2863695055086768	-0.44241667110343896	3
399	1.3567210818988538	1.770156060959447	-0.5353887013475224	-0.814018515735452	-0.7132349547779239	-0.1290910120720804	-0.7457487050121725	3
400	0.4028783143040614	1.8275202033394367	0.36080702252111013	0.238593610789011	-0.36719004804422567	0.0297112749640564	-0.7398781071093444	3
401	0.8197296659716651	1.8758471617312067	0.05356774618557339	0.20168462977621324	-0.33559389791011013	-0.7977746991086376	-0.8339970554799063	3
402	1.1515442427576357	1.9237211192599133	-0.4899671651902204	-0.3849690056807388	-0.6800609137467586	-0.943307073404193	-0.9546026502773033	3
403	0.4592889228798888	1.9731268969658142	1.216633184916323	1.1147430760790902	0.5381471242042964	0.48404093086252353	-0.7576014457793647	0
404	-0.21478775807195621	2.018645258041367	3.877722507789829	2.4687889085592905	1.664572112205866	0.8094901568035756	-0.6149126519233062	0
405	-0.4487547466269622	2.0448934193650974	3.512080443350925	2.347516769960098	0.9380215431807838	0.46295546349760913	-0.44642107084971455	0
406	-0.8593881607996662	2.0368084885751445	1.2011400553031495	1.3350649853773717	1.01984118863603	0.847934805677347	-0.366048603129925	0
407	-0.07012991248562317	1.985044525855296	0.2767919932750088	0.2363351920643246	1.8586059770886358	0.42725110955429446	-0.6349385231068448	0
408	1.008109769872845	1.8859637574536632	-0.4620574683739487	-0.4937796015917382	0.6130152624521634	-0.47785719326262793	-0.7041480013745672	3
409	0.16699804968999143	1.7409614342404494	-0.32747904113941173	-0.1203985869750798	-0.7218159402905524	-0.7877561613359502	-0.6006202940378333	3
410	-0.16837760272451868	1.5550188370412146	-0.2530335238060314	-0.10800216084752766	-0.5827424650592392	-1.0028731026257627	-0.6221061880787524	3
411	0.38204323290609205	1.3366605911730325	-0.0018129113779331435	-0.3703565481865217	-0.49626397360308727	-0.1430051561495039	-0.1423224008067833	3
412	0.3626781279629189	1.0982222396530665	0.11064370438608016	-0.23696383926234987	-0.15969748720920082	0.3180253666612327	0.19353810942849256	3
413	0.03382699015835269	0.8547411955413465	0.08221076867210778	0.30926085594138597	0.028367383984864176	-0.06565565631716826	0.03259232500870098	3
414	-0.42535926401446683	0.620859992222496	0.45660603935272265	0.9193277301811943	0.4412316589401264	-0.04909245819758625	-0.35952736285406944	0
415	0.21525941076401447	0.40733621835515854	-0.009351253842673556	0.19222528292511606	0.4288918886758033	-0.4810077645272567	-0.34671647799676186	0
416	0.3137268635313894	0.22621558499619399	-0.14700237249761075	0.11442740924539466	-0.008941320872426326	0.3131505096900272	-0.09403718931236855	0
417	0.7106066663317772	0.0968146689856516	0.900603150432528	1.4220533105148363	1.2490453461290987	0.8641812686374607	-0.0668912982304004	0
418	-0.004128598754523463	0.024189668144698938	0.505077028757465	0.9110954266699337	1.2559421547139513	-0.17484263052825033	-0.12162345431009271	0
419	1.070520650385787	-0.0002841811892032625	-0.8298556416050197	-0.6429532420028035	-0.3105253077340871	-0.5103100980148827	-0.029075382330826623	3
420	0.8910635761716265	0.021193450621949054	-0.5770358194485706	-0.47971161736695966	-0.7005045725212307	-0.021014342282569553	-0.023008759131855683	3
421	1.007343117387962	0.08521191152689557	-0.22096384324749796	-0.35911051402969135	-0.5773400423997139	-0.010401120735619867	-0.26746980192714803	3
